upc,name,price,stock
058716989744,"Planters - Praline Nut Mix - 575g",5.97,100
681131759069,"Great Value Breadsticks & Cheese",1.22,100
681131810081,"Great Value™ Regular Potato Chips",1.24,100
064100852525,"Pringles Dill Pickle",2.47,100
815506018080,"WG Sea Salt & Vinegar Chips",2.5,100
014100170945,"Pepperidge Farm Goldfish Crackers Cheese Trio 200 g",2.97,100
605388878267,"Great Value Restaurant Style Tortilla",2.47,100
076150473186,"Act II Microwave Popcorn! - Butter Lovers Flavour",2,100
058807413295,"Snack Pack Tapioca Pudding",2,100
058779268831,"Magnum Gold?! 3x100ml",5.97,100
681131913454,"Our Finest Vanilla & Dark Chocolate Ice Cream Bar",4.57,100
051500025888,"Smucker’s® Hot Fudge Microwaveable Topping 334 mL",3.97,100
051500051900,"Smucker’s® Magic Shell® Chocolate Flavoured Topping 205 g",2.97,100
051500051955,"Smucker’s® Sundae Syrup™ Caramel Flavoured Topping 428 mL",3.97,100
051500051962,"Smucker’s® Sundae Syrup™ Chocolate Flavoured Topping 428 mL",3.97,100
051500338155,"Smucker’s® Sundae Syrup™ No Sugar Added Caramel Flavoured Syrup 428 mL",3.97,100
055685111152,"Paneriso Gluten Free Ice Cream Cups",2.97,100
058807412151,"Snack Pack Juicy Gels - Raspberry/Mixed Berry",2,100
058807413264,"Snack Pack® Vanilla Pudding 4 Pack",2,100
681131913614,"Great Value Strawberry-Banana Pudding 99g",0.88,100
058807414025,"Snack Pack No Sugar Added Vanilla Pudding",2,100
681131759083,"Great Value Chocolate Pudding",0.88,100
058807412939,"Snack Pack® Banana Cream Pie Pudding 4 Pack",2,100
681131759144,"Fat Free Butterscotch Flavoured Pudding 99g",0.88,100
058807412892,"Snack Pack Toffee Caramel Pudding",2,100
058807414018,"Snack Pack No Sugar Added Chocolate Pudding",2,100
058807412694,"Snack Pack Chocolate / Butterscotch Family Pack",3.97,100
058807413271,"Snack Pack Chocolate Fudge Pudding",2,100
058807413394,"Snack Pack Chocolate Caramel Pudding",2,100
681131759106,"Butterscotch Flavoured Pudding 99g",0.88,100
681131759090,"Vanilla Flavoured Pudding 99g",0.88,100
058807413257,"Snack Pack® Chocolate Pudding 4 Pack",2,100
058807415848,"Snack Pack Choclate and Vanilla Pudding",2,100
058807413158,"Snack Pack Fat Free Chocolate Pudding",2,100
058807415831,"Snack Pack® Chocolate Lovers Pudding Family Pack 12pk",3.97,100
681131759113,"Tapioca Pudding 99g",0.88,100
066188118319,"JELL-O Instant Pudding CHOCOLATE",1.23,100
605388875389,"Banana Flavoured Pudding 99g",0.88,100
681131759137,"Fat Free Chocolate Pudding 99g",0.88,100
058807413288,"Snack Pack® Butterscotch Pudding 4 Pack",2,100
058807412908,"Snack Pack® Lemon Meringue Pie Pudding 4 Pack",2,100
